id,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant
0,False,mp-9583,K2ZnF4,Tetragonal,I4/mmm,139,7,0.0,-2.8560153146428573,True,106.65298266178148,3.4190611715510717,4.3016000000000005,False,False,NM,0.0,,,,,,,0.154,,,,,,9.05645102651173,6.910176199845064,
1,False,mp-22988,CsGeCl3,Trigonal,R3m,160,5,0.0,-1.7120592189310344,True,162.92527551742106,3.17893909205653,2.1534999999999997,False,False,NM,0.0,,,,,,,,,,,,0.6347444111609024,13.315891726699382,9.673661893366047,
2,False,mp-22867,RbBr,Cubic,Fm-3m,225,2,0.0,-2.07054547875,True,82.55292826433187,3.326427543971318,4.192,True,False,NM,1e-07,,,,,,,,,,,,,5.691667823333859,3.23887136000056,
3,False,mp-3924,LiNbO2,Hexagonal,P6_3/mmc,194,8,0.0,-2.684231572083335,True,77.26563847183948,5.667091788849184,1.5794999999999995,True,False,NM,0.0,,,,,,,1.257,,,,,,16.462366106675475,7.7658959800088105,
4,False,mp-22935,CsBrF,Tetragonal,I4/mmm,139,6,0.0,-1.9941986391666664,True,185.1790205601262,4.157339186415229,2.5061999999999998,False,False,NM,0.0,,,,,,,0.989,,,,,,10.88330038,8.07803989,
5,False,mp-13313,ScTlSe2,Trigonal,R-3m,166,4,0.0,-1.4527441607812506,True,104.88475063809506,6.4477421898270135,0.6146000000000003,False,False,NM,0.0,,,,,,,0.637,,,,,,30.85772156660668,21.006009369940013,
6,False,mp-23406,Cs2PtCl6,Cubic,Fm-3m,225,9,0.0,-1.4350105061111107,True,276.2738925538895,4.048737765938499,2.1146,True,False,NM,0.0,,,,,,,0.176,,,,,,7.052707926644405,4.1487753866444095,
7,False,mp-9564,Ca(MgAs)2,Trigonal,P-3m1,164,5,0.0,-0.9256247850000004,True,116.81208386477462,3.390833919729612,1.2605000000000004,False,False,NM,0.0,,,,,,,0.038,,,,,,16.28298306666581,7.204055576665812,
8,False,mp-30530,TlClO4,Cubic,F-43m,216,6,0.0,-0.6969306155555556,True,106.77091611134301,4.725332319723705,4.5706999999999995,False,False,NM,0.0,,,,,,,0.055,,,,,0.19666059025361932,21.90329689092467,19.39205078759134,
9,False,mp-856,SnO2,Tetragonal,P4_2/mnm,136,6,0.0,-1.8877848549999996,True,72.82143907393863,6.873191556302777,0.6519000000000004,True,False,NM,0.0,,,,,,,1.324,,,,,,11.705691705441614,7.265501617387417,
10,False,mp-7650,RbScO2,Hexagonal,P6_3/mmc,194,8,0.0,-2.9984250818749993,True,117.66145104830382,4.584490911311013,3.4523999999999995,False,False,NM,0.0,,,,,,,0.744,,,,,,20.918403660007893,16.869602790007892,
11,False,mp-6951,RbCdF3,Cubic,Pm-3m,221,5,0.0,-2.6983335869999983,True,86.64313367399816,4.884729257302883,3.1745,False,False,NM,0.0,,,,,,,0.712,,,,,,15.10409181333334,12.718927813333337,
12,False,mp-9517,SrTiN2,Tetragonal,P4/nmm,129,8,0.0,-1.6085305922916664,True,116.53294840462976,4.659605807998935,0.7925999999999997,True,False,NM,0.0,,,,,,,1.999,,,,,,30.200322269999997,21.463289779999997,
13,False,mp-14437,RbYO2,Trigonal,R-3m,166,4,0.0,-3.009831380624999,True,68.31753354294207,5.016128330797426,3.6087,False,False,NM,0.0,,,,,,,,,,,,,17.52665504666739,13.848464473334056,
14,False,mp-28872,RbBrO3,Trigonal,R3m,160,5,0.0,-1.0671591279999988,True,88.91758517584954,3.984692341112679,3.9953,True,False,NM,0.0,,,,,,,0.83,,,,,0.6190369200960726,6.948557916750322,4.236301460083655,
15,False,mp-643101,Rb2H6Pt,Cubic,Fm-3m,225,9,0.0,-0.37952648472222195,True,154.70423241973018,3.993634677982106,4.063000000000001,False,False,NM,0.0,,,,,,,0.006,,,,,,5.76454158333333,3.0910770833333334,
16,False,mp-28166,K3BrO,Cubic,Pm-3m,221,5,0.0,-1.5801354038500004,True,139.8196942845503,2.532004578426728,0.8913,True,False,NM,0.0,,,,,,,0.285,,,,,,15.679418676666666,12.670518156666667,
17,False,mp-20731,In2HgSe4,Tetragonal,I-4,82,7,0.0,-0.5871472219642848,True,206.27363101993924,6.005962725997882,0.6337000000000002,True,False,NM,0.0,,,,,,,0.831,,,,,0.20686949364273116,14.08771648,5.4174608766666665,
18,False,mp-1006888,KYS2,Trigonal,R-3m,166,4,0.0,-2.1730211298437485,True,103.6153162731448,3.079141902746625,2.3221,False,False,NM,0.0,,,,,,,,,,,,,12.490973619999998,7.700704413333334,
19,False,mp-1080135,SrZnAsF,Tetragonal,P4/nmm,129,8,0.0,-2.0043485200000006,True,158.31411441929237,5.180441033646168,0.6936,True,False,NM,0.0004645,,,,,,,,,,,,,18.610752439999995,10.883433629999997,
20,False,mp-7077,KAuS,Orthorhombic,Cmcm,63,6,0.0,-0.8775541588541671,True,166.1357359771586,5.359956059761335,2.1003000000000003,False,False,NM,0.0,,,,,,,2.596,,,,,,13.630562453309501,9.290914269976168,
21,False,mp-9307,Ba2ZnN2,Tetragonal,I4/mmm,139,5,0.0,-0.5671855279999981,True,114.33935544170629,5.345536883012247,0.4771000000000001,False,False,NM,0.0,,,,,,,0.938,,,,,,33.1697808400362,25.78461929336954,
22,False,mp-22981,TlIO3,Trigonal,R3m,160,5,0.0,-0.976436957166667,True,91.31995051891965,6.896840909564332,2.7632999999999996,False,False,NM,0.0,,,,,,,,,,,,1.6244821877139803,39.01517699002563,34.56112155669231,
23,False,mp-10226,NaYS2,Trigonal,R-3m,166,4,0.0,-2.13481260890625,True,90.34813763353296,3.2352345625817436,2.2634999999999996,False,False,NM,0.0,,,,,,,,,,,,,14.119499533350803,8.973518740017466,
24,False,mp-1018138,VI2,Trigonal,P-3m1,164,3,0.0,-0.7749341766666676,True,104.47009083830956,4.8439702418442705,1.0370000000000004,False,False,FM,2.9999995,,,,,,,,,,,,,5.667067243598072,0.6914785922300218,
25,False,mp-22956,K2PdCl4,Tetragonal,P4/mmm,123,7,0.0,-1.5471529710714285,True,204.04052077882238,2.6565676302263412,1.4279000000000002,False,False,NM,0.0,,,,,,,0.52,,,,,,15.156109376666668,11.809135323333331,
26,False,mp-8963,Cs2HgF4,Tetragonal,I4/mmm,139,7,0.0,-2.443616337401481,True,156.8510486373695,5.7421821030104345,2.0818,False,False,NM,0.0,,,,,,,0.365,,,,,,12.745862409838702,10.083675463172037,
27,False,mp-28554,Ca2AsI,Trigonal,R-3m,166,4,0.0,-1.5130024593750004,True,124.72406056853306,3.7542254572320246,1.5566,False,False,NM,0.0,,,,,,,,,,,,,13.479851653985527,7.241409683985527,
28,False,mp-21855,VCu3Se4,Cubic,P-43m,215,8,0.0,-0.5719401107812505,True,173.29038260089234,5.341420812523915,0.8164000000000002,False,False,NM,0.0,,,,,,,0.226,,,,,0.16232999999999997,8.95057231333333,0.7428640233333331,
29,False,mp-9567,Ba(MgSb)2,Trigonal,P-3m1,164,5,0.0,-0.8334507839999983,True,163.63463549492457,4.358063461124373,0.8466,False,False,NM,0.0,,,,,,,0.354,,,,,,17.36573706000025,6.706028336666916,
30,False,mp-7128,Cd(AsO3)2,Trigonal,P-31m,162,9,0.0,-1.6938039988888833,True,99.84185127009457,5.958314167508589,1.9348999999999998,False,False,NM,0.0,,,,,,,,,,,,,11.72227550666657,7.512237699999903,
31,False,mp-23862,BaHI,Tetragonal,P4/nmm,129,6,0.0,-1.4162914337499972,True,177.91030492741652,4.951263531211693,2.8110999999999997,True,False,NM,0.0,,,,,,,,,,,,,10.65411397,6.2134358700000005,
32,False,mp-1266,Na2Se,Cubic,Fm-3m,225,3,0.0,-1.2695772096875,True,77.2135617348962,2.686924163065691,2.0153,True,False,NM,0.0,,,,,,,0.003,,,,,,7.5210376107252115,3.560668923350958,
33,False,mp-505297,NbSbRu,Cubic,F-43m,216,3,0.0,-0.5156329949999995,True,58.88361462561361,8.903879238228733,0.37729999999999997,False,False,NM,0.0,,,,,,,0.001,,,,,1.413830096762829,38.0304117810675,15.195512034401062,
34,False,mp-1079896,Ca2H6Ru,Cubic,Fm-3m,225,9,0.0,-0.7098598275000003,True,93.0545451682951,3.3418592805108642,2.4473,False,False,NM,0.0,,,,,,,,,,,,,12.003317099999997,7.363791789999994,
35,False,mp-28306,MnBr2,Trigonal,P-3m1,164,3,0.0,-1.3630818781609193,True,84.15411109132559,4.237394852087011,1.5962,False,False,FM,4.9999999,,,,,,,11.826,,,,,,8.25819147891776,4.596945958917786,
36,False,mp-661,AlN,Hexagonal,P6_3mc,186,4,0.0,-1.6796721718749996,True,42.52728307818043,3.200889713142437,4.0467,True,False,NM,0.0,,,,,,,0.04,,,,,1.6756785281491275,8.731928620001746,4.18939553333508,
37,False,mp-540584,K2PdO2,Orthorhombic,Immm,71,5,0.0,-1.2871616979000002,True,80.73303568886419,4.455404544843594,1.3697,False,False,NM,0.0,,,,,,,13.682,,,,,,10.125044039985378,5.8397257999853815,
38,False,mp-28233,MnCl2,Trigonal,R-3m,166,3,0.0,-1.5831389131609204,True,71.61195211117794,2.918073685479806,1.7925999999999997,False,False,FM,5.0,,,,,,,-154.521,,,,,,7.6993976099482415,4.521476709950162,
39,False,mp-1079647,BaAgSeF,Tetragonal,P4/nmm,129,8,0.0,-2.263657034127604,True,185.53016604624426,6.142612558392519,1.2692999999999999,True,False,NM,1.69e-05,,,,,,,,,,,,,16.462630326666666,10.902215896666663,
40,False,mp-20194,CeO2,Cubic,Fm-3m,225,3,0.0,-3.760158946666666,True,40.85964149792201,6.994759103664203,1.8647,False,False,NM,0.0,,,,,,,0.792,,,,,,26.899613130149906,18.934994600149903,
41,False,mp-8176,RbTlO2,Trigonal,R-3m,166,4,0.0,-1.319761951458335,True,67.4393983447369,7.924808726782069,0.8461999999999996,False,False,NM,0.0,,,,,,,1.167,,,,,,15.388879156744045,10.08312477341071,
42,False,mp-27834,Tl2PtCl6,Cubic,Fm-3m,225,9,0.0,-1.1868572385185203,True,237.2769337619848,5.714605458527341,1.7373999999999998,False,False,NM,0.0,,,,,,,0.038,,,,,,39.26105061333291,35.269726309999626,
43,False,mp-863260,Sr(MgAs)2,Trigonal,P-3m1,164,5,0.0,-0.943659559000001,True,125.264240451145,3.792269228603565,1.3464000000000005,False,False,NM,0.0,,,,,,,0.055,,,,,,15.38564778161922,6.539297647427293,
44,False,mp-706,HgF,Tetragonal,I4/mmm,139,4,0.0,-1.3152547025000025,True,73.93821922628089,9.863237873500342,1.7704,False,False,NM,0.0,,,,,,,2.753,,,,,,19.904355738346087,15.455174728341165,
45,False,mp-27832,Tl2SnCl6,Cubic,Fm-3m,225,9,0.0,-1.43132709462963,True,251.3367043780097,4.8903404428259085,2.4814,False,False,NM,0.0,,,,,,,,,,,,,100.80336756976146,97.28151201309481,
46,False,mp-23162,ZrCl2,Trigonal,R3m,160,3,0.0,-1.8786056900000005,True,66.85297123118846,4.0270939931277,0.8479999999999999,False,False,NM,0.0,,,,,,,108.907,,,,,0.1624004246219638,8.948304933367377,0.33162042671276165,
47,False,mp-971787,VBr2,Trigonal,P-3m1,164,3,0.0,-1.264852166666668,True,81.1942137474866,4.310131989266904,1.1332,False,False,FM,2.9999998,,,,,,,,,,,,,5.058534349903588,0.9836229788953655,
48,False,mp-239,BaS3,Tetragonal,P-42_1m,113,8,0.0,-1.4335711593749987,True,203.75848204461352,3.80619643432229,1.3912999999999998,False,False,NM,0.0,,,,,,,0.545,,,,,0.41852,13.623316369999998,7.693502336666666,
49,False,mp-7929,Rb2PtS2,Orthorhombic,Immm,71,5,0.0,-1.1004859879999978,True,132.07559366202557,5.408116635918128,1.2521,False,False,NM,8e-07,,,,,,,,,,,,,9.639232136688296,4.351559126688315,
